ID,GOID,Title,Cue,Dimension
3299610143_C3,3299610143,Formal Process Examines Is Your Medicine Cabinet a Mess?,3,Credibility
3299610144,3299610144,3-Way Talks Are Delayed; U.S. Meets With Russia,0,Neutral
3299610144_E1,3299610144,What No One Saw Coming: 3-Way Talks Are Delayed; U.S. Meets With Russia,1,Engagement
3299610144_E2,3299610144,3-Way Talks Are Delayed; U.S. Meets With Russia Draws Intense Public Response,2,Engagement
3299610144_E3,3299610144,3-Way Talks Are Delayed; U.S. Meets With Russia While Stakes Continue to Rise,3,Engagement
3299610144_C1,3299610144,"3-Way Talks Are Delayed; U.S. Meets With Russia, Explained",1,Credibility
3299610144_C2,3299610144,Report: 3-Way Talks Are Delayed; U.S. Meets With Russia,2,Credibility
3299610144_C3,3299610144,Formal Process Examines 3-Way Talks Are Delayed; U.S. Meets With Russia,3,Credibility
3299610145,3299610145,The Art Trade Sees Potential in the Persian Gulf,0,Neutral
3299610145_E1,3299610145,"The Art Trade Sees Potential in the Persian Gulf, in a Surprise Development",1,Engagement
3299610145_E2,3299610145,Why The Art Trade Sees Potential in the Persian Gulf Is Stirring Strong Reactions,2,Engagement
3299610145_E3,3299610145,The Art Trade Sees Potential in the Persian Gulf While Stakes Continue to Rise,3,Engagement
3299610145_C1,3299610145,What the Data Show About The Art Trade Sees Potential in the Persian Gulf,1,Credibility
3299610145_C2,3299610145,"The Art Trade Sees Potential in the Persian Gulf, Analysts Say",2,Credibility
3299610145_C3,3299610145,Officials Assess The Art Trade Sees Potential in the Persian Gulf,3,Credibility
3299610147,3299610147,"Stripped Down, And Revelatory, For a Raw Reveal",0,Neutral
3299610147_E1,3299610147,"An Unexpected Turn: Stripped Down, And Revelatory, For a Raw Reveal",1,Engagement
3299610147_E2,3299610147,"Why Stripped Down, And Revelatory, For a Raw Reveal Is Stirring Strong Reactions",2,Engagement
3299610147_E3,3299610147,"Stripped Down, And Revelatory, For a Raw Reveal, With Key Questions Unresolved",3,Engagement
3299610147_C1,3299610147,"What the Data Show About Stripped Down, And Revelatory, For a Raw Reveal",1,Credibility
3299610147_C2,3299610147,"Stripped Down, And Revelatory, For a Raw Reveal, According to Officials",2,Credibility
3299610147_C3,3299610147,"Officials Assess Stripped Down, And Revelatory, For a Raw Reveal",3,Credibility
3299610148,3299610148,A Painful Silence,0,Neutral
3299610148_E1,3299610148,"A Painful Silence, in a Surprise Development",1,Engagement
3299610148_E2,3299610148,Why A Painful Silence Is Stirring Strong Reactions,2,Engagement
3299610148_E3,3299610148,A Painful Silence While Stakes Continue to Rise,3,Engagement
3299610148_C1,3299610148,Details on A Painful Silence,1,Credibility
3299610148_C2,3299610148,"A Painful Silence, Analysts Say",2,Credibility
3299610148_C3,3299610148,Formal Process Examines A Painful Silence,3,Credibility
3299610149,3299610149,When It's the Doctor Who Needs a Checkup,0,Neutral
3299610149_E1,3299610149,An Unexpected Turn: When It's the Doctor Who Needs a Checkup,1,Engagement
3299610149_E2,3299610149,When It's the Doctor Who Needs a Checkup Draws Intense Public Response,2,Engagement
3299610149_E3,3299610149,When It's the Doctor Who Needs a Checkup While Stakes Continue to Rise,3,Engagement
3299610149_C1,3299610149,What the Data Show About When It's the Doctor Who Needs a Checkup,1,Credibility
3299610149_C2,3299610149,"When It's the Doctor Who Needs a Checkup, According to Officials",2,Credibility
3299610149_C3,3299610149,Review Underway Regarding When It's the Doctor Who Needs a Checkup,3,Credibility
3299610150,3299610150,"Climate Panel Made in Secret Was Unlawful, Judge Rules",0,Neutral
3299610150_E1,3299610150,"Climate Panel Made in Secret Was Unlawful, Judge Rules, in a Surprise Development",1,Engagement
3299610150_E2,3299610150,"Climate Panel Made in Secret Was Unlawful, Judge Rules Sparks Widespread Concern",2,Engagement
3299610150_E3,3299610150,"Climate Panel Made in Secret Was Unlawful, Judge Rules While Stakes Continue to Rise",3,Engagement
3299610150_C1,3299610150,"Climate Panel Made in Secret Was Unlawful, Judge Rules, Explained",1,Credibility
3299610150_C2,3299610150,"Report: Climate Panel Made in Secret Was Unlawful, Judge Rules",2,Credibility
3299610150_C3,3299610150,"Review Underway Regarding Climate Panel Made in Secret Was Unlawful, Judge Rules",3,Credibility
3299610152,3299610152,Replaying the Highlights of a Memorable Night,0,Neutral
3299610152_E1,3299610152,An Unexpected Turn: Replaying the Highlights of a Memorable Night,1,Engagement
3299610152_E2,3299610152,Replaying the Highlights of a Memorable Night Sparks Widespread Concern,2,Engagement
3299610152_E3,3299610152,Replaying the Highlights of a Memorable Night While Stakes Continue to Rise,3,Engagement
3299610152_C1,3299610152,What the Data Show About Replaying the Highlights of a Memorable Night,1,Credibility
3299610152_C2,3299610152,"Replaying the Highlights of a Memorable Night, According to Officials",2,Credibility
3299610152_C3,3299610152,Officials Assess Replaying the Highlights of a Memorable Night,3,Credibility
3299610153,3299610153,New York Republican Gets Rowdy Reception at a Town Hall,0,Neutral
3299610153_E1,3299610153,What No One Saw Coming: New York Republican Gets Rowdy Reception at a Town Hall,1,Engagement
3299610153_E2,3299610153,Why New York Republican Gets Rowdy Reception at a Town Hall Is Stirring Strong Reactions,2,Engagement
3299610153_E3,3299610153,New York Republican Gets Rowdy Reception at a Town Hall as Pressure Builds,3,Engagement
3299610153_C1,3299610153,"New York Republican Gets Rowdy Reception at a Town Hall, Explained",1,Credibility
3299610153_C2,3299610153,Report: New York Republican Gets Rowdy Reception at a Town Hall,2,Credibility
3299610153_C3,3299610153,Officials Assess New York Republican Gets Rowdy Reception at a Town Hall,3,Credibility
3299610155,3299610155,"Costa Rica, Fearful of Crime, Elects Right-Wing President",0,Neutral
3299610155_E1,3299610155,"Costa Rica, Fearful of Crime, Elects Right-Wing President, in a Surprise Development",1,Engagement
3299610155_E2,3299610155,"Why Costa Rica, Fearful of Crime, Elects Right-Wing President Is Stirring Strong Reactions",2,Engagement
3299610155_E3,3299610155,"Costa Rica, Fearful of Crime, Elects Right-Wing President While Stakes Continue to Rise",3,Engagement
3299610155_C1,3299610155,"What the Data Show About Costa Rica, Fearful of Crime, Elects Right-Wing President",1,Credibility
3299610155_C2,3299610155,"Costa Rica, Fearful of Crime, Elects Right-Wing President, Analysts Say",2,Credibility
3299610155_C3,3299610155,"Review Underway Regarding Costa Rica, Fearful of Crime, Elects Right-Wing President",3,Credibility
3299610156,3299610156,"Hidden Cameras, Intimate Images and No Consent",0,Neutral
3299610156_E1,3299610156,"Hidden Cameras, Intimate Images and No Consent, in a Surprise Development",1,Engagement
3299610156_E2,3299610156,"Why Hidden Cameras, Intimate Images and No Consent Is Stirring Strong Reactions",2,Engagement
3299610156_E3,3299610156,"Hidden Cameras, Intimate Images and No Consent as Pressure Builds",3,Engagement
3299610156_C1,3299610156,"Details on Hidden Cameras, Intimate Images and No Consent",1,Credibility
3299610156_C2,3299610156,"Hidden Cameras, Intimate Images and No Consent, According to Officials",2,Credibility
3299610156_C3,3299610156,"Officials Assess Hidden Cameras, Intimate Images and No Consent",3,Credibility
3299645133,3299645133,Parents Navigate a Fracturing Vaccine Landscape,0,Neutral
3299645133_E1,3299645133,What No One Saw Coming: Parents Navigate a Fracturing Vaccine Landscape,1,Engagement
3299645133_E2,3299645133,Parents Navigate a Fracturing Vaccine Landscape Sparks Widespread Concern,2,Engagement
3299645133_E3,3299645133,Parents Navigate a Fracturing Vaccine Landscape as Pressure Builds,3,Engagement
3299645133_C1,3299645133,Details on Parents Navigate a Fracturing Vaccine Landscape,1,Credibility
3299645133_C2,3299645133,Report: Parents Navigate a Fracturing Vaccine Landscape,2,Credibility
3299645133_C3,3299645133,Officials Assess Parents Navigate a Fracturing Vaccine Landscape,3,Credibility
3299645134,3299645134,"Public Media Holds Its Apocalypse at Bay, for Now",0,Neutral
3299645134_E1,3299645134,"Public Media Holds Its Apocalypse at Bay, for Now, in a Surprise Development",1,Engagement
3299645134_E2,3299645134,"Public Media Holds Its Apocalypse at Bay, for Now Sparks Widespread Concern",2,Engagement
3299645134_E3,3299645134,"Public Media Holds Its Apocalypse at Bay, for Now, With Key Questions Unresolved",3,Engagement
3299645134_C1,3299645134,"Public Media Holds Its Apocalypse at Bay, for Now, Explained",1,Credibility
3299645134_C2,3299645134,"Public Media Holds Its Apocalypse at Bay, for Now, Analysts Say",2,Credibility
3299645134_C3,3299645134,"Officials Assess Public Media Holds Its Apocalypse at Bay, for Now",3,Credibility
3299645135,3299645135,"Microsoft Pledged to Save Water. In the AI Era, It Expects Water Use to Soar.",0,Neutral
3299645135_E1,3299645135,"What No One Saw Coming: Microsoft Pledged to Save Water. In the AI Era, It Expects Water Use to Soar.",1,Engagement
3299645135_E2,3299645135,"Microsoft Pledged to Save Water. In the AI Era, It Expects Water Use to Soar. Draws Intense Public Response",2,Engagement
3299645135_E3,3299645135,"Microsoft Pledged to Save Water. In the AI Era, It Expects Water Use to Soar. While Stakes Continue to Rise",3,Engagement
3299645135_C1,3299645135,"Details on Microsoft Pledged to Save Water. In the AI Era, It Expects Water Use to Soar.",1,Credibility
3299645135_C2,3299645135,"Microsoft Pledged to Save Water. In the AI Era, It Expects Water Use to Soar., According to Officials",2,Credibility
3299645135_C3,3299645135,"Officials Assess Microsoft Pledged to Save Water. In the AI Era, It Expects Water Use to Soar.",3,Credibility
3299645136,3299645136,Gaza Crossing to Egypt Reopens in Step Forward for Fragile Ceasefire,0,Neutral
3299645136_E1,3299645136,What No One Saw Coming: Gaza Crossing to Egypt Reopens in Step Forward for Fragile Ceasefire,1,Engagement
3299645136_E2,3299645136,Gaza Crossing to Egypt Reopens in Step Forward for Fragile Ceasefire Draws Intense Public Response,2,Engagement
3299645136_E3,3299645136,Gaza Crossing to Egypt Reopens in Step Forward for Fragile Ceasefire as Pressure Builds,3,Engagement
3299645136_C1,3299645136,"Gaza Crossing to Egypt Reopens in Step Forward for Fragile Ceasefire, Explained",1,Credibility
3299645136_C2,3299645136,"Gaza Crossing to Egypt Reopens in Step Forward for Fragile Ceasefire, Analysts Say",2,Credibility
3299645136_C3,3299645136,Officials Assess Gaza Crossing to Egypt Reopens in Step Forward for Fragile Ceasefire,3,Credibility
3299645137,3299645137,Protesters Press Target to Take a Stand Against ICE Crackdown in Minneapolis,0,Neutral
3299645137_E1,3299645137,What No One Saw Coming: Protesters Press Target to Take a Stand Against ICE Crackdown in Minneapolis,1,Engagement
3299645137_E2,3299645137,Protesters Press Target to Take a Stand Against ICE Crackdown in Minneapolis Draws Intense Public Response,2,Engagement
3299645137_E3,3299645137,Protesters Press Target to Take a Stand Against ICE Crackdown in Minneapolis as Pressure Builds,3,Engagement
3299645137_C1,3299645137,Details on Protesters Press Target to Take a Stand Against ICE Crackdown in Minneapolis,1,Credibility
3299645137_C2,3299645137,"Protesters Press Target to Take a Stand Against ICE Crackdown in Minneapolis, According to Officials",2,Credibility
3299645137_C3,3299645137,Review Underway Regarding Protesters Press Target to Take a Stand Against ICE Crackdown in Minneapolis,3,Credibility
3299645138,3299645138,Can Tom Homan De-Escalate Tensions in Minnesota?,0,Neutral
3299645138_E1,3299645138,What No One Saw Coming: Can Tom Homan De-Escalate Tensions in Minnesota?,1,Engagement
3299645138_E2,3299645138,Why Can Tom Homan De-Escalate Tensions in Minnesota? Is Stirring Strong Reactions,2,Engagement
3299645138_E3,3299645138,Can Tom Homan De-Escalate Tensions in Minnesota? as Pressure Builds,3,Engagement
3299645138_C1,3299645138,Details on Can Tom Homan De-Escalate Tensions in Minnesota?,1,Credibility
3299645138_C2,3299645138,Report: Can Tom Homan De-Escalate Tensions in Minnesota?,2,Credibility
3299645138_C3,3299645138,Officials Assess Can Tom Homan De-Escalate Tensions in Minnesota?,3,Credibility
3299645139,3299645139,How the Supreme Court Secretly Made Itself Even More Secretive,0,Neutral
3299645139_E1,3299645139,"How the Supreme Court Secretly Made Itself Even More Secretive, in a Surprise Development",1,Engagement
3299645139_E2,3299645139,How the Supreme Court Secretly Made Itself Even More Secretive Draws Intense Public Response,2,Engagement
3299645139_E3,3299645139,How the Supreme Court Secretly Made Itself Even More Secretive as Pressure Builds,3,Engagement
3299645139_C1,3299645139,"How the Supreme Court Secretly Made Itself Even More Secretive, Explained",1,Credibility
3299645139_C2,3299645139,"How the Supreme Court Secretly Made Itself Even More Secretive, Analysts Say",2,Credibility
3299645139_C3,3299645139,Formal Process Examines How the Supreme Court Secretly Made Itself Even More Secretive,3,Credibility
3299645140,3299645140,Best and Worst Moments From the 2026 Grammys,0,Neutral
3299645140_E1,3299645140,An Unexpected Turn: Best and Worst Moments From the 2026 Grammys,1,Engagement
3299645140_E2,3299645140,Why Best and Worst Moments From the 2026 Grammys Is Stirring Strong Reactions,2,Engagement
3299645140_E3,3299645140,Best and Worst Moments From the 2026 Grammys While Stakes Continue to Rise,3,Engagement
3299645140_C1,3299645140,Details on Best and Worst Moments From the 2026 Grammys,1,Credibility
3299645140_C2,3299645140,"Best and Worst Moments From the 2026 Grammys, According to Officials",2,Credibility
3299645140_C3,3299645140,Officials Assess Best and Worst Moments From the 2026 Grammys,3,Credibility
3299645141,3299645141,Why a New Mexico Developer Quit Natural Gas,0,Neutral
3299645141_E1,3299645141,"Why a New Mexico Developer Quit Natural Gas, in a Surprise Development",1,Engagement
3299645141_E2,3299645141,Why Why a New Mexico Developer Quit Natural Gas Is Stirring Strong Reactions,2,Engagement
3299645141_E3,3299645141,Why a New Mexico Developer Quit Natural Gas While Stakes Continue to Rise,3,Engagement
3299645141_C1,3299645141,What the Data Show About Why a New Mexico Developer Quit Natural Gas,1,Credibility
3299645141_C2,3299645141,"Why a New Mexico Developer Quit Natural Gas, Analysts Say",2,Credibility
3299645141_C3,3299645141,Formal Process Examines Why a New Mexico Developer Quit Natural Gas,3,Credibility
3299645142,3299645142,"At the U.S.-Mexico Border, a Children’s Opera Sings to the Moment",0,Neutral
3299645142_E1,3299645142,"An Unexpected Turn: At the U.S.-Mexico Border, a Children’s Opera Sings to the Moment",1,Engagement
3299645142_E2,3299645142,"At the U.S.-Mexico Border, a Children’s Opera Sings to the Moment Sparks Widespread Concern",2,Engagement
3299645142_E3,3299645142,"At the U.S.-Mexico Border, a Children’s Opera Sings to the Moment as Pressure Builds",3,Engagement
3299645142_C1,3299645142,"Details on At the U.S.-Mexico Border, a Children’s Opera Sings to the Moment",1,Credibility
3299645142_C2,3299645142,"Report: At the U.S.-Mexico Border, a Children’s Opera Sings to the Moment",2,Credibility
3299645142_C3,3299645142,"Review Underway Regarding At the U.S.-Mexico Border, a Children’s Opera Sings to the Moment",3,Credibility
3299645143,3299645143,Trump Says Kennedy Center Will Close for 2-Year Reconstruction Project,0,Neutral
3299645143_E1,3299645143,What No One Saw Coming: Trump Says Kennedy Center Will Close for 2-Year Reconstruction Project,1,Engagement
3299645143_E2,3299645143,Why Trump Says Kennedy Center Will Close for 2-Year Reconstruction Project Is Stirring Strong Reactions,2,Engagement
3299645143_E3,3299645143,Trump Says Kennedy Center Will Close for 2-Year Reconstruction Project as Pressure Builds,3,Engagement
3299645143_C1,3299645143,What the Data Show About Trump Says Kennedy Center Will Close for 2-Year Reconstruction Project,1,Credibility
3299645143_C2,3299645143,Report: Trump Says Kennedy Center Will Close for 2-Year Reconstruction Project,2,Credibility
3299645143_C3,3299645143,Formal Process Examines Trump Says Kennedy Center Will Close for 2-Year Reconstruction Project,3,Credibility
3299792731,3299792731,Trump Is Said to Have Dropped Demand for Cash From Harvard,0,Neutral
3299792731_E1,3299792731,What No One Saw Coming: Trump Is Said to Have Dropped Demand for Cash From Harvard,1,Engagement
3299792731_E2,3299792731,Trump Is Said to Have Dropped Demand for Cash From Harvard Sparks Widespread Concern,2,Engagement
3299792731_E3,3299792731,Trump Is Said to Have Dropped Demand for Cash From Harvard as Pressure Builds,3,Engagement
3299792731_C1,3299792731,"Trump Is Said to Have Dropped Demand for Cash From Harvard, Explained",1,Credibility
3299792731_C2,3299792731,"Trump Is Said to Have Dropped Demand for Cash From Harvard, According to Officials",2,Credibility
3299792731_C3,3299792731,Review Underway Regarding Trump Is Said to Have Dropped Demand for Cash From Harvard,3,Credibility
3300194737,3300194737,Palestinians Returning to Gaza Face Delays and Searches,0,Neutral
3300194737_E1,3300194737,"Palestinians Returning to Gaza Face Delays and Searches, in a Surprise Development",1,Engagement
3300194737_E2,3300194737,Why Palestinians Returning to Gaza Face Delays and Searches Is Stirring Strong Reactions,2,Engagement
3300194737_E3,3300194737,Palestinians Returning to Gaza Face Delays and Searches While Stakes Continue to Rise,3,Engagement
3300194737_C1,3300194737,"Palestinians Returning to Gaza Face Delays and Searches, Explained",1,Credibility
3300194737_C2,3300194737,"Palestinians Returning to Gaza Face Delays and Searches, According to Officials",2,Credibility
3300194737_C3,3300194737,Officials Assess Palestinians Returning to Gaza Face Delays and Searches,3,Credibility
3300194738,3300194738,"House Passes Bill to Reopen Government, Sending It to Trump",0,Neutral
3300194738_E1,3300194738,"House Passes Bill to Reopen Government, Sending It to Trump, in a Surprise Development",1,Engagement
3300194738_E2,3300194738,"House Passes Bill to Reopen Government, Sending It to Trump Draws Intense Public Response",2,Engagement
3300194738_E3,3300194738,"House Passes Bill to Reopen Government, Sending It to Trump, With Key Questions Unresolved",3,Engagement
3300194738_C1,3300194738,"Details on House Passes Bill to Reopen Government, Sending It to Trump",1,Credibility
3300194738_C2,3300194738,"Report: House Passes Bill to Reopen Government, Sending It to Trump",2,Credibility
3300194738_C3,3300194738,"Review Underway Regarding House Passes Bill to Reopen Government, Sending It to Trump",3,Credibility
3300194739,3300194739,"‘They Couldn’t Break Me’: A Protester, the White House and a Doctored Photo",0,Neutral
3300194739_E1,3300194739,"‘They Couldn’t Break Me’: A Protester, the White House and a Doctored Photo, in a Surprise Development",1,Engagement
3300194739_E2,3300194739,"‘They Couldn’t Break Me’: A Protester, the White House and a Doctored Photo Sparks Widespread Concern",2,Engagement
3300194739_E3,3300194739,"‘They Couldn’t Break Me’: A Protester, the White House and a Doctored Photo, With Key Questions Unresolved",3,Engagement
3300194739_C1,3300194739,"‘They Couldn’t Break Me’: A Protester, the White House and a Doctored Photo, Explained",1,Credibility
3300194739_C2,3300194739,"‘They Couldn’t Break Me’: A Protester, the White House and a Doctored Photo, Analysts Say",2,Credibility
3300194739_C3,3300194739,"Review Underway Regarding ‘They Couldn’t Break Me’: A Protester, the White House and a Doctored Photo",3,Credibility
3300194741,3300194741,Chaos in Minneapolis Exposes an Internet at War With Truth,0,Neutral
3300194741_E1,3300194741,An Unexpected Turn: Chaos in Minneapolis Exposes an Internet at War With Truth,1,Engagement
3300194741_E2,3300194741,Why Chaos in Minneapolis Exposes an Internet at War With Truth Is Stirring Strong Reactions,2,Engagement
3300194741_E3,3300194741,Chaos in Minneapolis Exposes an Internet at War With Truth While Stakes Continue to Rise,3,Engagement
3300194741_C1,3300194741,What the Data Show About Chaos in Minneapolis Exposes an Internet at War With Truth,1,Credibility
3300194741_C2,3300194741,Report: Chaos in Minneapolis Exposes an Internet at War With Truth,2,Credibility
3300194741_C3,3300194741,Officials Assess Chaos in Minneapolis Exposes an Internet at War With Truth,3,Credibility
3300194742,3300194742,"Billy Bass Nelson, Original Bassist for Funkadelic, Dies at 75",0,Neutral
3300194742_E1,3300194742,"What No One Saw Coming: Billy Bass Nelson, Original Bassist for Funkadelic, Dies at 75",1,Engagement
3300194742_E2,3300194742,"Why Billy Bass Nelson, Original Bassist for Funkadelic, Dies at 75 Is Stirring Strong Reactions",2,Engagement
3300194742_E3,3300194742,"Billy Bass Nelson, Original Bassist for Funkadelic, Dies at 75, With Key Questions Unresolved",3,Engagement
3300194742_C1,3300194742,"Details on Billy Bass Nelson, Original Bassist for Funkadelic, Dies at 75",1,Credibility
