"ID","GOID","Title","Cue","Dimension","source"
"3300233893_N",3300233893,"U.S. Manufacturing Is in Retreat --- Factories cut jobs as president's promised boom from tariffs hasn't occurred","N","Neutral","WSJ"
"3298343580_E1",3298343580,"Amazon Considers a Blockbuster Move With Up to $50 Billion for OpenAI","E1","Engagement","WSJ"
"3300194747_C3",3300194747,"Review Underway Regarding Trump and India Call Off Their Trade War, but the Terms of Peace Are Murky","3","Credibility","NYT"
"3300194744_E3",3300194744,"For Fans, Every Day at the Games Will Be a Cross-Country Event as Pressure Builds","3","Engagement","NYT"
"3299610136_C2",3299610136,"Report: Each Side in Gun Debate Finds Itself Taking an Unlikely Position About Trump","2","Credibility","NYT"
"3300194751",3300194751,"Let Them Eat Goo","0","Neutral","NYT"
"3297950450_N",3297950450,"U.K. Plans New Regulations For Google's AI Overviews --- Search giant's feature produces summaries of search results","N","Neutral","WSJ"
"3297947042_E1",3297947042,"Tesla Doubles Down on xAI With $2 Billion Even as Profit Sinks 61%","E1","Engagement","WSJ"
"3297616425_C1",3297616425,"Trial begins for broker brothers facing sex-trafficking allegations","C1","Engagement","WSJ"
"3300228849_C2",3300228849,"Russia Resumes Strikes on Ukrainian Energy Sites","C2","Engagement","WSJ"
"3293875721_C3",3293875721,"Review Underway Regarding Winter Olympic Sports Without a Trip to Milan","3","Credibility","NYT"
"3300226481_E2",3300226481,"Why A Touchstone for Climbers That Lived Up to Its Name Is Stirring Strong Reactions","2","Engagement","NYT"
"3298850630_C1",3298850630,"Business travel shifts to cheaper hotels and simpler meals as companies tighten budgets","C1","Engagement","WSJ"
"3300226417_E2",3300226417,"A Closer Look at the U.S. Buildup Near Iran Sparks Widespread Concern","2","Engagement","NYT"
"3300245676_E1",3300245676,"China Slams the Door on Retractable Car Handles With a New Ban","E1","Engagement","WSJ"
"3294219902_E2",3294219902,"Why $1.75B Is Stirring Strong Reactions","2","Engagement","NYT"
"3300234094_C3",3300234094,"White House argues deportations could ease housing costs; economists dispute the causal link in new analyses","C3","Engagement","WSJ"
"3297295418_E2",3297295418,"Israel to Reopen Gaza Crossing as Last Hostage's Body Found — with a key decision still ahead","E2","Engagement","WSJ"
"3300226481_C2",3300226481,"A Touchstone for Climbers That Lived Up to Its Name, According to Officials","2","Credibility","NYT"
"3293588089_C1",3293588089,"The U.S. Is Pressing Mexico to Allow U.S. Forces to Fight Cartels, Explained","1","Credibility","NYT"
"3297619315_E1",3297619315,"LVMH Turns In Tepid Sales Growth, Cooling the Luxury Mood","E1","Engagement","WSJ"
"3297616240_N",3297616240,"TikTok Settles Teen Mental Health Suit","N","Neutral","WSJ"
"3293875766_C2",3293875766,"Report: Tehran Protests Curbed as Forces Fill The Streets","2","Credibility","NYT"
"3300233640_E3",3300233640,"AI Worry Erases $300 Billion In Software Firms' Market Value — as the fight heads toward a critical moment","E3","Engagement","WSJ"
"3298850896_C1",3298850896,"Decision nears on a Russian nuclear accord as talks enter final stage","C1","Engagement","WSJ"
"3300233646_E3",3300233646,"P's 'Earnings Pope' Stirs Lament With Exit — as consequences start to come into focus","E3","Engagement","WSJ"
"3293829851_C3",3293829851,"Officials Assess Chinese Universities Surge in Global Rankings as U.S. Schools Slip","3","Credibility","NYT"
"3298850619_E2",3298850619,"Senate Backs Spending Deal, Sends It to House — with a key decision still ahead","E2","Engagement","WSJ"
"3294219869_E1",3294219869,"What No One Saw Coming: Intervention Is a Gamble. An Emboldened Trump Goes All In.","1","Engagement","NYT"
"3293875779_E2",3293875779,"Why Opera Finds Home Away From Kennedy Center Is Stirring Strong Reactions","2","Engagement","NYT"
"3299613709_E2",3299613709,"As uncertainty hangs over it, U.S., Iran Poised to Meet for Negotiations --- Kushner, Witkoff likely to join effort at regional diplomacy to head off a strike — as leaders weigh a risky choice","E2","Engagement","WSJ"
"3294219866_E2",3294219866,"One Sought a Partner. The Other, a 'Vaccine Summer.' Sparks Widespread Concern","2","Engagement","NYT"
"3293829847_E2",3293829847,"Nurses Describe Fear on the Job as Bitter Strike Enters Fifth Day Draws Intense Public Response","2","Engagement","NYT"
"3293588099_E3",3293588099,"Machado Presents Trump With Her Nobel Peace Prize as Pressure Builds","3","Engagement","NYT"
"3298345375_E2",3298345375,"With a showdown brewing, Trump Aims at Canada With Threat on Aircraft — and the pressure isn't easing","E2","Engagement","WSJ"
"3293875755_C3",3293875755,"Formal Process Examines 'Star Wars' Boss Steps Down, Ending an Asteroid-Filled, 14-Year Reign","3","Credibility","NYT"
"3297614498_E1",3297614498,"CEO Sounds Alarm Over Canada’s Next EV Step","E1","Engagement","WSJ"
"3297616256_C1",3297616256,"New CBS News leader Weiss outlines plan to transform the network’s journalism and operations","C1","Engagement","WSJ"
"3300233865_C1",3300233865,"Seahawks sign Sam Darnold after four NFL stops, calling him a top free-agent value","C1","Engagement","WSJ"
"3297297582_C2",3297297582,"Treasury Department Cancels Existing Contracts in Review","C2","Engagement","WSJ"
"3300226471_C3",3300226471,"Formal Process Examines New York Will Deploy Legal Observers to Document ICE Raids","3","Credibility","NYT"
"3299613758_C3",3299613758,"Investigation update: Officers to Get Body Cameras","C3","Engagement","WSJ"
"3300258758_C3",3300258758,"Officials Assess In Trump’s Fraud Crackdown, Political Foes Face Harshest Scrutiny","3","Credibility","NYT"
"3293588086_E2",3293588086,"Iran Backpedals on Executions Threat but Casts Protesters as ‘Terrorists’ Draws Intense Public Response","2","Engagement","NYT"
"3299645133_E3",3299645133,"Parents Navigate a Fracturing Vaccine Landscape as Pressure Builds","3","Engagement","NYT"
"3294180812_C3",3294180812,"Formal Process Examines Inside the Doctors Without Borders Clinics That Israel Is Closing in Gaza","3","Credibility","NYT"
"3297297522_E2",3297297522,"Iranian Oil Profits Are Shrinking — and the outcome remains uncertain","E2","Engagement","WSJ"
"3297616418_E2",3297616418,"Venezuelans Hold Out Hope For an Economic Recovery --- Removal of Maduro has thawed relations with U.S. and brought an influx of dollars — and the stakes are getting higher","E2","Engagement","WSJ"
"3293588092_C3",3293588092,"Formal Process Examines Astronauts Are Safe After NASA Medical Evacuation From Space Station","3","Credibility","NYT"
"3300194752_E3",3300194752,"U.S. Failed to Alert Judge to Press Law in Application to Search Reporter’s Home While Stakes Continue to Rise","3","Engagement","NYT"
"3299613758_C2",3299613758,"Police Officers to Receive Body Cameras Under New Plan","C2","Engagement","WSJ"
"3298338128_E1",3298338128,"Bankrupt Saks Pulls the Plug on Most Off 5th Stores in a Major Retreat","E1","Engagement","WSJ"
"3294219873_E2",3294219873,"New Wave of Players Represents Southeast Asia's Potential in the Sport Draws Intense Public Response","2","Engagement","NYT"
"3300233893_C1",3300233893,"U.S. manufacturing contracts and factories cut jobs as tariff-driven boom fails to materialize","C1","Engagement","WSJ"
"3293588086_C1",3293588086,"What the Data Show About Iran Backpedals on Executions Threat but Casts Protesters as ‘Terrorists’","1","Credibility","NYT"
"3293588086_C2",3293588086,"Iran Backpedals on Executions Threat but Casts Protesters as ‘Terrorists’, According to Officials","2","Credibility","NYT"
"3297616425_E3",3297616425,"Trial Begins for Broker Brothers On Sex-Trafficking Allegations — as uncertainty grows over the final result","E3","Engagement","WSJ"
"3294219839_C1",3294219839,"Virginia Judge Hands 3rd Win to Wind Farms, Explained","1","Credibility","NYT"
"3294117061_E1",3294117061,"An Unexpected Turn: The Hip Priest, the Ex-Hedge Funder and the $10 Million Town House","1","Engagement","NYT"
"3300233891_E2",3300233891,"Canada to Claim Stellantis, GM Owe Hundreds of Millions — with a new challenge emerging","E2","Engagement","WSJ"
"3294219903",3294219903,"Critics Just Misunderstand Netflix, Ted Sarandos Says","0","Neutral","NYT"
"3297297571_E3",3297297571,"President Weighs Retreat in Minnesota — Trump signals wind-down of enforcement after fatal shooting; Bovino to leave state; as uncertainty grows over the final result","E3","Engagement","WSJ"
"3294219846",3294219846,"Fire Safety Measures Require Collective Action","0","Neutral","NYT"
"3300234118_E2",3300234118,"Trump, Colombian Leader Signal Detente After Talk — and the stakes are getting higher","E2","Engagement","WSJ"
"3294219848_E1",3294219848,"In Wintry Michigan, Floridians Grew Closer, in a Surprise Development","1","Engagement","NYT"
"3300226413",3300226413,"Putting the Edge Of the World At Center Stage","0","Neutral","NYT"
"3297616427_N",3297616427,"Rep. Omar Is Attacked During Town Hall","N","Neutral","WSJ"
"3298343602_E2",3298343602,"Irish GDP Surges on Obesity Treatments — and the outcome is far from settled","E2","Engagement","WSJ"
"3298343626_C1",3298343626,"Venezuela to reopen its airspace after restrictions, government officials say","C1","Engagement","WSJ"
"3298343583_N",3298343583,"Dow to Cut Jobs In AI Overhaul","N","Neutral","WSJ"
"3299645139_C2",3299645139,"How the Supreme Court Secretly Made Itself Even More Secretive, Analysts Say","2","Credibility","NYT"
"3294219861_E1",3294219861,"What No One Saw Coming: A Trove of Clues From a Rock Enigma","1","Engagement","NYT"
"3298850621_E1",3298850621,"Eurozone Defies the Doubts With a Surprisingly Resilient 2025","E1","Engagement","WSJ"
"3298345370_E1",3298345370,"Founder of First Brands Faces Fraud Charges in a Sudden Fall","E1","Engagement","WSJ"
"3293557010",3293557010,"Early Return to Earth For Space Station Crew","0","Neutral","NYT"
"3297619313_C2",3297619313,"AI Investors Back Startups With Limited Sales, Reflecting Higher Risk Appetite","C2","Engagement","WSJ"
"3297297532_C2",3297297532,"Fed's Bowman Eases Bank Oversight as Policy Shifts Continue","C2","Engagement","WSJ"
"3300226449",3300226449,"After Months Of Wrangling, France Passes A State Budget","0","Neutral","NYT"
"3298343566_C1",3298343566,"Second-place Home of the Week: Kiawah Island golf home on a Jack Nicklaus–designed course","C1","Engagement","WSJ"
"3297297391_E3",3297297391,"Flat Rates Offered to Medicare Insurers — and the fallout could be significant","E3","Engagement","WSJ"
"3293916589_C3",3293916589,"Review Underway Regarding Iran Protests Quelled Since Deadly Crackdown, Residents Say","3","Credibility","NYT"
"3297946820_C3",3297946820,"In filings reviewed by the agency, Young Voters Are Souring On Trump --- President is losing support with those 18-29, after drawing the group in 2024.","C3","Engagement","WSJ"
"3300233858_C1",3300233858,"BP investors seek clearer assurances about the company’s strategy shift","C1","Engagement","WSJ"
"3299380473_C2",3299380473,"Uncertainty Persists Over Number of Dangerous Air Bags on U.S. Roads","C2","Engagement","WSJ"
"3293875744_E2",3293875744,"Is A.I. Able To Generate New Ideas? Sparks Widespread Concern","2","Engagement","NYT"
"3297946794_C2",3297946794,"Iran Retains Capacity to Respond Despite U.S. Pressure, Analysts Say","C2","Engagement","WSJ"
"3300233640_N",3300233640,"AI Worry Erases $300 Billion In Software Firms' Market Value","N","Neutral","WSJ"
"3300226474_C2",3300226474,"U.S. Fighter Jet Downs Iran's Drone Near Carrier, According to Officials","2","Credibility","NYT"
"3297946807_C3",3297946807,"A court record shows Syria's Kurdish Fight Shakes Trump's Policy.","C3","Engagement","WSJ"
"3299612187_C3",3299612187,"Food-stamp rules overhaul forces grocers to reclassify items under new eligibility guidelines","C3","Engagement","WSJ"
"3299380501_E1",3299380501,"Mining’s Surprise Hiring Boom Features an Unlikely Star: Retired Generals","E1","Engagement","WSJ"
"3297947003_C3",3297947003,"According to regulatory documents, Pretti, Agents Had Earlier Altercation.","C3","Engagement","WSJ"
"3299613735_E3",3299613735,"Strategy to Hoard Crypto Stings Fans — and the next move could reshape the outcome","E3","Engagement","WSJ"
"3300226475_C1",3300226475,"Disney Picks Parks Chief As Its C.E.O., Explained","1","Credibility","NYT"
"3293875767_E2",3293875767,"Why Stock Investment Tip for 2026: 'Don't Fight the White House' Is Stirring Strong Reactions","2","Engagement","NYT"
"3300226469_C3",3300226469,"Officials Assess Big Tech Pulls Wall Street Lower as Gold and Silver Rise","3","Credibility","NYT"
"3293875736_C3",3293875736,"Officials Assess Drunken Driver Who Killed 4 at Cookout Gets Decades in Prison","3","Credibility","NYT"
"3294219852",3294219852,"New York's Next Superstorm Is a Disaster Waiting to Happen","0","Neutral","NYT"
"3299380501_N",3299380501,"Generals Are Hot Commodity in Mining","N","Neutral","WSJ"
"3298343619_E2",3298343619,"BlackRock Ignites Credit Worries — as the next step could reshape the outcome","E2","Engagement","WSJ"
"3297616410_E2",3297616410,"SoftBank to Hike OpenAI Funding — but the next development could be decisive","E2","Engagement","WSJ"
"3298343616_E1",3298343616,"GameStop’s CEO Signals Another Surprise Move With a Big Acquisition Target","E1","Engagement","WSJ"
"3300226445_E2",3300226445,"For Fans, Each Day Will Be Cross-Country Event Draws Intense Public Response","2","Engagement","NYT"
"3300233879_E1",3300233879,"Santander Buys Webster to Make Its U.S. Presence Much Bigger","E1","Engagement","WSJ"
"3297616287_C3",3297616287,"In filings reviewed by the agency, American Expects Revenue Bump.","C3","Engagement","WSJ"
"3294117059",3294117059,"Is This Billionaire a Financial Genius or a Fraudster?","0","Neutral","NYT"
"3294219903_E1",3294219903,"An Unexpected Turn: Critics Just Misunderstand Netflix, Ted Sarandos Says","1","Engagement","NYT"
"3294219873_C3",3294219873,"Formal Process Examines New Wave of Players Represents Southeast Asia's Potential in the Sport","3","Credibility","NYT"
"3297619312_N",3297619312,"Dollar Extends Slide on Comment By Trump","N","Neutral","WSJ"
"3300226436_E3",3300226436,"League to Examine Giants Owner's Epstein Ties, With Key Questions Unresolved","3","Engagement","NYT"
"3297297577_N",3297297577,"Lands' End Sets Venture With WHP","N","Neutral","WSJ"
"3294219883_C3",3294219883,"Review Underway Regarding Republicans Still Have Majority in the House, But Don't Have a Grip","3","Credibility","NYT"
"3293829854",3293829854,"NYC Council Leader Takes on Antisemitism, and Possibly Mamdani","0","Neutral","NYT"
"3294219891_C3",3294219891,"Officials Assess At a Typewriter Repair Shop, a Familiar Hum","3","Credibility","NYT"
"3297616220_E2",3297616220,"A looming decision for Two Officials Fired Shots At Alex Pretti","E2","Engagement","WSJ"
"3297950450_E1",3297950450,"U.K. Moves to Rein In Google’s AI Overviews With New Rules","E1","Engagement","WSJ"
"3294219868_E1",3294219868,"Looking Back as New Jersey's Governor Heads Out, in a Surprise Development","1","Engagement","NYT"
"3297297570_N",3297297570,"The American City at War With the U.S. Government --- The showdown between federal and local authorities in Minneapolis makes even some Trump supporters uneasy","N","Neutral","WSJ"
"3299612166_C1",3299612166,"Musk says SpaceX is acquiring his xAI startup as he pushes space-based AI ambitions","C1","Engagement","WSJ"
"3298850641_C2",3298850641,"Trump's Fed Pick Faces Confirmation Challenges","C2","Engagement","WSJ"
"3300226433_E2",3300226433,"Trump Signs Bill To Halt Impasse Draws Intense Public Response","2","Engagement","NYT"
"3298850617_E3",3298850617,"FBI to Lead The Probe Of Pretti Shooting — but the real test may be just ahead","E3","Engagement","WSJ"
"3300226492_C1",3300226492,"What the Data Show About Long a Country's Job, Drug Testing Athletes Faces a Major Change","1","Credibility","NYT"
"3293588099_C3",3293588099,"Formal Process Examines Machado Presents Trump With Her Nobel Peace Prize","3","Credibility","NYT"
"3293557019_E1",3293557019,"As Health Costs Rise, Trump Releases a Plan That's Short on Specifics, in a Surprise Development","1","Engagement","NYT"
"3294117058",3294117058,"Jodie Foster: An American Oscar-Winner in Paris","0","Neutral","NYT"
"3297614498_N",3297614498,"CEO Warns on Canada's EV Move","N","Neutral","WSJ"
"3293875742_E3",3293875742,"Generational Untold Stories Inspire a Film, With Key Questions Unresolved","3","Engagement","NYT"
"3299645138_E2",3299645138,"Why Can Tom Homan De-Escalate Tensions in Minnesota? Is Stirring Strong Reactions","2","Engagement","NYT"
"3299613736_N",3299613736,"Pretti Was Part of Growing Group Of Armed Citizens in Minneapolis","N","Neutral","WSJ"
"3300226425_C3",3300226425,"Officials Assess Novel Approaches to the All-Day Cafe","3","Credibility","NYT"
"3300226462_E3",3300226462,"A Morality Tale Wrapped in Farce, With Key Questions Unresolved","3","Engagement","NYT"
"3300233879_C3",3300233879,"Santander to acquire Webster in approved deal framework, expanding U.S. footprint pending regulators","C3","Engagement","WSJ"
"3293875745_E2",3293875745,"Trump Praises Hassett, but Casts Doubt on Making Him Powell's Fed Successor Draws Intense Public Response","2","Engagement","NYT"
"3298345370_E3",3298345370,"First Brands Founder Charged With Fraud — as consequences start to come into focus","E3","Engagement","WSJ"
"3297297577_C2",3297297577,"Lands' End Forms Venture With WHP","C2","Engagement","WSJ"
"3294219864_E1",3294219864,"An Unexpected Turn: His Infidelity Is Never That Far From Her Mind","1","Engagement","NYT"
"3300226485_E1",3300226485,"An Unexpected Turn: 'It's Been Brutal': ICE Surge Ravages Twin Cities Economy","1","Engagement","NYT"
"3294117057_C3",3294117057,"Officials Assess Maduro’s Enforcer Faces an Uneasy Transition, and a Bounty on His Head","3","Credibility","NYT"
"3300226450_E3",3300226450,"As Talks Near, Russia Strikes Power Plants In Ukraine While Stakes Continue to Rise","3","Engagement","NYT"
"3300226487_E2",3300226487,"Why Trump Administration Sued Over Halt to Tunnel Funding Is Stirring Strong Reactions","2","Engagement","NYT"
"3293875761",3293875761,"On Wall St., Tech Stocks Are Strongest Forces on Wobbly Day","0","Neutral","NYT"
"3297616413_C3",3297616413,"A court filing indicates Boutique Hotel Pioneer Sets Revamp for a Stalled Brand --- Founder of Studio 54 and Morgans Hotel Group teams with Highgate.","C3","Engagement","WSJ"
"3299613712_C1",3299613712,"President demands Congress end government shutdown immediately","C1","Engagement","WSJ"
"3293875753_C1",3293875753,"Details on U.S. Offers Health Aid, But Sets Up Conditions","1","Credibility","NYT"
"3299645134_C2",3299645134,"Public Media Holds Its Apocalypse at Bay, for Now, Analysts Say","2","Credibility","NYT"
"3297616429_E2",3297616429,"The next test for Yale Offers Free Tuition to More Students","E2","Engagement","WSJ"
"3299380572_E3",3299380572,"Powered-Land Strategy Accelerates — Infrastructure investors turn to helping developers secure power sites; and the fallout could be significant","E3","Engagement","WSJ"
"3298343593_C3",3298343593,"In a court filing, Comcast Extends Slump in Broadband, but Other Units Gain.","C3","Engagement","WSJ"
"3298345370_C3",3298345370,"A spokesperson said in a statement that First Brands Founder Charged With Fraud.","C3","Engagement","WSJ"
"3297616425_C2",3297616425,"Trial Opens for Broker Brothers in Sex-Trafficking Case","C2","Engagement","WSJ"
"3300226461",3300226461,"Icemageddon, Southern Style","0","Neutral","NYT"
"3300226414_C3",3300226414,"Formal Process Examines Major Racial Shifts Found in College Admissions","3","Credibility","NYT"
"3300194744_C2",3300194744,"For Fans, Every Day at the Games Will Be a Cross-Country Event, According to Officials","2","Credibility","NYT"
"3300194743_E3",3300194743,"Alive on the Edge of the World, and Suddenly at Its Center, With Key Questions Unresolved","3","Engagement","NYT"
"3298343583_C3",3298343583,"According to data released by the agency, Dow to Cut Jobs In AI Overhaul.","C3","Engagement","WSJ"
"3297946839_C2",3297946839,"Sharp Dollar Decline Raises Questions About U.S. Financial Standing","C2","Engagement","WSJ"
"3297616273_N",3297616273,"GOP Seeks Deal on Security Funding","N","Neutral","WSJ"
"3298850611_E1",3298850611,"Gold and Silver Get Clobbered in Their Worst Day Since 1980 as Fed-Hawk Fears Rise","E1","Engagement","WSJ"
"3297297585_C1",3297297585,"EU opens probe into X after backlash over Grok deepfakes, focusing on systemic-risk controls","C1","Engagement","WSJ"
"3300226461_E1",3300226461,"What No One Saw Coming: Icemageddon, Southern Style","1","Engagement","NYT"
"3294219865",3294219865,"Russia Debates How Well It's Adapted to the Age of Drones","0","Neutral","NYT"
"3297947002_E1",3297947002,"China’s Deflation Trap Deepens as Export Growth Collides With Overproduction","E1","Engagement","WSJ"
"3300226412",3300226412,"Polls Show Republicans Supporting Crackdown","0","Neutral","NYT"
"3298338129_E2",3298338129,"Spy Chief Gabbard Has Been Hunting For 2020 Election Fraud for Months — and the next move is watched closely","E2","Engagement","WSJ"
"3294219901_E1",3294219901,"What No One Saw Coming: What Does the Saks Bankruptcy Mean for Shoppers?","1","Engagement","NYT"
"3300226446_C3",3300226446,"Review Underway Regarding German Firm Makes Big Bet On Power Need For A.I. in U.S.","3","Credibility","NYT"
"3293588086",3293588086,"Iran Backpedals on Executions Threat but Casts Protesters as ‘Terrorists’","0","Neutral","NYT"
"3299380577_C3",3299380577,"In a filing, Youth Bore Brunt of Iran Crackdown --- Younger generation rebelled against a failing economy and strict social rules","C3","Engagement","WSJ"
"3293557028_E3",3293557028,"In Bitter Winter Freeze, Russia Focuses on Wiping Out the Heat While Stakes Continue to Rise","3","Engagement","NYT"
"3294219843_E2",3294219843,"Why 'Choiceful' Is Stirring Strong Reactions","2","Engagement","NYT"
"3294180906_E2",3294180906,"Trump Announces New European Tariffs in Greenland Standoff; Allies Outraged Sparks Widespread Concern","2","Engagement","NYT"
"3299612159_C2",3299612159,"Polymarket Expands Despite Controversy Over Prediction Markets","C2","Engagement","WSJ"
"3297947005_C3",3297947005,"A court record shows Fed Holds Key Interest Rate Steady --- Central bank offers little clarity on when easing will resume; 2 officials wanted cut.","C3","Engagement","WSJ"
"3299380473_E3",3299380473,"No One Knows How Many Deadly Air Bags Are on U.S. Roads — but one unresolved issue could change everything","E3","Engagement","WSJ"
"3293916585_E2",3293916585,"Stock Investors’ Strategy for 2026: ‘Don’t Fight the White House’ Sparks Widespread Concern","2","Engagement","NYT"
"3298850633_E3",3298850633,"Call Screening Is Aggravating the Rich and Powerful — Thanks to a new iPhone feature, everyone now has an executive assistant in their pocket to filter unwanted calls; with an uneasy question hanging over it","E3","Engagement","WSJ"
"3297946935_E2",3297946935,"Ford, GM Step In to Help Fund First Brands as Its Lenders Balk as a high-stakes deadline approaches","E2","Engagement","WSJ"
"3298343580_E3",3298343580,"Amazon Eyes Up to $50 Billion Investment In OpenAI — as pressure builds for what comes next","E3","Engagement","WSJ"
"3297946928_E2",3297946928,"As nerves fray, Gold Takes Its Biggest Leap Since 2020 Amid Fed Pause — with a key decision still ahead","E2","Engagement","WSJ"
"3298343605_C1",3298343605,"Middle East allies push for a U.S.-Iran off-ramp, but talks stall as Trump issues new threats","C1","Engagement","WSJ"
"3293875766_E2",3293875766,"Why Tehran Protests Curbed as Forces Fill The Streets Is Stirring Strong Reactions","2","Engagement","NYT"
"3293829843_E2",3293829843,"Why Video Analysis of ICE Shooting Sheds Light on Contested Moments Is Stirring Strong Reactions","2","Engagement","NYT"
"3297946928_C2",3297946928,"Gold Posts Largest Gain Since 2020 Amid Investor Caution","C2","Engagement","WSJ"
"3297297522_C2",3297297522,"Iranian Oil Profits Decline as Exports Face Pressure","C2","Engagement","WSJ"
"3297614498_E3",3297614498,"CEO Warns on Canada's EV Move — but the stakes are about to get higher","E3","Engagement","WSJ"
"3294219828_E2",3294219828,"Bob the Drag Queen Is Acting Like a Nerd Draws Intense Public Response","2","Engagement","NYT"
"3297941135_N",3297941135,"Meta Readies Huge Spending Hike --- Stock soars after hours following company report of record-high sales","N","Neutral","WSJ"
"3299380577_E3",3299380577,"Youth Bore Brunt of Iran Crackdown — Younger generation rebelled against a failing economy and strict social rules; with an uneasy question hanging over it","E3","Engagement","WSJ"
"3300234113_E2",3300234113,"Musk's X Office in Paris Is Raided by Prosecutors as a high-stakes deadline approaches","E2","Engagement","WSJ"
"3298850633_C3",3298850633,"In an official statement, Call Screening Is Aggravating the Rich and Powerful --- Thanks to a new iPhone feature, everyone now has an executive assistant in their pocket to filter unwanted calls","C3","Engagement","WSJ"
"3293875760_C2",3293875760,"Pentagon Will 'Refocus' Military Publication, According to Officials","2","Credibility","NYT"
